,Occupation title (click on the occupation title to view its profile)
593,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
594,Tree Trimmers and Pruners
595,"Grounds Maintenance Workers, All Other"
596,Personal Care and Service Occupations
597,Supervisors of Personal Care and Service Workers
598,First-Line Supervisors of Entertainment and Recreation Workers
599,First-Line Supervisors of Gambling Services Workers
600,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
601,First-Line Supervisors of Personal Service Workers
602,Animal Care and Service Workers
603,Animal Trainers
604,Animal Caretakers
605,Entertainment Attendants and Related Workers
606,Gambling Services Workers
607,Gambling Dealers
608,Gambling and Sports Book Writers and Runners
609,"Gambling Service Workers, All Other"
610,Motion Picture Projectionists
611,"Ushers, Lobby Attendants, and Ticket Takers"
612,Miscellaneous Entertainment Attendants and Related Workers
613,Amusement and Recreation Attendants
614,Costume Attendants
615,"Locker Room, Coatroom, and Dressing Room Attendants"
616,"Entertainment Attendants and Related Workers, All Other"
617,Funeral Service Workers
618,Embalmers and Crematory Operators
619,Embalmers
620,Crematory Operators
621,Funeral Attendants
622,"Morticians, Undertakers, and Funeral Arrangers"
623,Personal Appearance Workers
624,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
625,Barbers
626,"Hairdressers, Hairstylists, and Cosmetologists"
627,Miscellaneous Personal Appearance Workers
628,"Makeup Artists, Theatrical and Performance"
629,Manicurists and Pedicurists
630,Shampooers
631,Skincare Specialists
632,"Baggage Porters, Bellhops, and Concierges"
633,Baggage Porters and Bellhops
634,Concierges
635,Tour and Travel Guides
636,Other Personal Care and Service Workers
637,Childcare Workers
638,Recreation and Fitness Workers
639,Exercise Trainers and Group Fitness Instructors
640,Recreation Workers
641,Residential Advisors
642,"Personal Care and Service Workers, All Other"
643,Sales and Related Occupations
644,First-Line Supervisors of Sales Workers
645,First-Line Supervisors of Retail Sales Workers
646,First-Line Supervisors of Non-Retail Sales Workers
647,Retail Sales Workers
648,Cashiers
649,Cashiers
650,Gambling Change Persons and Booth Cashiers
651,Counter and Rental Clerks and Parts Salespersons
652,Counter and Rental Clerks
653,Parts Salespersons
654,Retail Salespersons
655,"Sales Representatives, Services"
656,Advertising Sales Agents
657,Insurance Sales Agents
658,"Securities, Commodities, and Financial Services Sales Agents"
659,Travel Agents
660,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
661,"Sales Representatives, Wholesale and Manufacturing"
662,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
663,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
664,Other Sales and Related Workers
665,"Models, Demonstrators, and Product Promoters"
666,Demonstrators and Product Promoters
667,Models
668,Real Estate Brokers and Sales Agents
669,Real Estate Brokers
670,Real Estate Sales Agents
671,Sales Engineers
672,Telemarketers
673,Miscellaneous Sales and Related Workers
674,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
675,"Sales and Related Workers, All Other"
676,Office and Administrative Support Occupations
677,First-Line Supervisors of Office and Administrative Support Workers
678,Communications Equipment Operators
679,"Switchboard Operators, Including Answering Service"
680,Telephone Operators
681,"Communications Equipment Operators, All Other"
682,Financial Clerks
683,Bill and Account Collectors
684,Billing and Posting Clerks
685,"Bookkeeping, Accounting, and Auditing Clerks"
686,Gambling Cage Workers
687,Payroll and Timekeeping Clerks
688,Procurement Clerks
689,Tellers
690,"Financial Clerks, All Other"
691,Information and Record Clerks
692,Brokerage Clerks
693,Correspondence Clerks
694,"Court, Municipal, and License Clerks"
695,"Credit Authorizers, Checkers, and Clerks"
696,Customer Service Representatives
697,"Eligibility Interviewers, Government Programs"
698,File Clerks
699,"Hotel, Motel, and Resort Desk Clerks"
700,"Interviewers, Except Eligibility and Loan"
701,"Library Assistants, Clerical"
702,Loan Interviewers and Clerks
703,New Accounts Clerks
704,Order Clerks
705,"Human Resources Assistants, Except Payroll and Timekeeping"
706,Receptionists and Information Clerks
707,Reservation and Transportation Ticket Agents and Travel Clerks
708,"Information and Record Clerks, All Other"
709,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
710,Cargo and Freight Agents
711,Couriers and Messengers
712,Dispatchers
713,Public Safety Telecommunicators
714,"Dispatchers, Except Police, Fire, and Ambulance"
715,"Meter Readers, Utilities"
716,Postal Service Workers
717,Postal Service Clerks
718,Postal Service Mail Carriers
719,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
720,"Production, Planning, and Expediting Clerks"
721,"Shipping, Receiving, and Inventory Clerks"
722,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
723,Secretaries and Administrative Assistants
724,Executive Secretaries and Executive Administrative Assistants
725,Legal Secretaries and Administrative Assistants
726,Medical Secretaries and Administrative Assistants
727,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
728,Other Office and Administrative Support Workers
729,Data Entry and Information Processing Workers
730,Data Entry Keyers
731,Word Processors and Typists
732,Desktop Publishers
733,Insurance Claims and Policy Processing Clerks
734,"Mail Clerks and Mail Machine Operators, Except Postal Service"
735,"Office Clerks, General"
736,"Office Machine Operators, Except Computer"
737,Proofreaders and Copy Markers
738,Statistical Assistants
739,"Office and Administrative Support Workers, All Other"
740,"Farming, Fishing, and Forestry Occupations"
741,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
742,Agricultural Workers
743,Agricultural Inspectors
744,Animal Breeders
745,"Graders and Sorters, Agricultural Products"
746,Miscellaneous Agricultural Workers
747,Agricultural Equipment Operators
748,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
749,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
750,"Agricultural Workers, All Other"
751,"Forest, Conservation, and Logging Workers"
752,Forest and Conservation Workers
753,Logging Workers
754,Fallers
755,Logging Equipment Operators
756,Log Graders and Scalers
757,"Logging Workers, All Other"
758,Construction and Extraction Occupations
759,First-Line Supervisors of Construction Trades and Extraction Workers
760,Construction Trades Workers
761,Boilermakers
762,"Brickmasons, Blockmasons, and Stonemasons"
763,Brickmasons and Blockmasons
764,Stonemasons
765,Carpenters
766,"Carpet, Floor, and Tile Installers and Finishers"
767,Carpet Installers
768,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
769,Floor Sanders and Finishers
770,Tile and Stone Setters
771,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
772,Cement Masons and Concrete Finishers
773,Terrazzo Workers and Finishers
774,Construction Laborers
775,Construction Equipment Operators
776,"Paving, Surfacing, and Tamping Equipment Operators"
777,Pile Driver Operators
778,Operating Engineers and Other Construction Equipment Operators
779,"Drywall Installers, Ceiling Tile Installers, and Tapers"
780,Drywall and Ceiling Tile Installers
781,Tapers
782,Electricians
783,Glaziers
784,Insulation Workers
785,"Insulation Workers, Floor, Ceiling, and Wall"
786,"Insulation Workers, Mechanical"
787,Painters and Paperhangers
788,"Painters, Construction and Maintenance"
789,Paperhangers
790,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
791,Pipelayers
792,"Plumbers, Pipefitters, and Steamfitters"
793,Plasterers and Stucco Masons
794,Reinforcing Iron and Rebar Workers
795,Roofers
796,Sheet Metal Workers
797,Structural Iron and Steel Workers
798,Solar Photovoltaic Installers
799,"Helpers, Construction Trades"
800,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
801,Helpers--Carpenters
802,Helpers--Electricians
803,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
804,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
805,Helpers--Roofers
806,"Helpers, Construction Trades, All Other"
807,Other Construction and Related Workers
808,Construction and Building Inspectors
809,Elevator and Escalator Installers and Repairers
810,Fence Erectors
811,Hazardous Materials Removal Workers
812,Highway Maintenance Workers
813,Rail-Track Laying and Maintenance Equipment Operators
814,Septic Tank Servicers and Sewer Pipe Cleaners
815,Miscellaneous Construction and Related Workers
816,Extraction Workers
817,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas"
818,"Derrick Operators, Oil and Gas"
819,"Rotary Drill Operators, Oil and Gas"
820,"Service Unit Operators, Oil and Gas"
821,Surface Mining Machine Operators and Earth Drillers
822,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
823,"Earth Drillers, Except Oil and Gas"
824,"Explosives Workers, Ordnance Handling Experts, and Blasters"
825,Underground Mining Machine Operators
826,Continuous Mining Machine Operators
827,"Roof Bolters, Mining"
828,"Loading and Moving Machine Operators, Underground Mining"
829,"Underground Mining Machine Operators, All Other"
830,"Rock Splitters, Quarry"
831,"Roustabouts, Oil and Gas"
832,Helpers--Extraction Workers
833,"Extraction Workers, All Other"
834,"Installation, Maintenance, and Repair Occupations"
835,"First-Line Supervisors of Mechanics, Installers, and Repairers"
836,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
837,"Computer, Automated Teller, and Office Machine Repairers"
838,Radio and Telecommunications Equipment Installers and Repairers
839,"Radio, Cellular, and Tower Equipment Installers and Repairers"
840,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
841,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
842,Avionics Technicians
843,"Electric Motor, Power Tool, and Related Repairers"
844,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
845,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
846,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
847,"Electronic Equipment Installers and Repairers, Motor Vehicles"
848,Audiovisual Equipment Installers and Repairers
849,Security and Fire Alarm Systems Installers
850,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
851,Aircraft Mechanics and Service Technicians
852,Automotive Technicians and Repairers
853,Automotive Body and Related Repairers
854,Automotive Glass Installers and Repairers
855,Automotive Service Technicians and Mechanics
856,Bus and Truck Mechanics and Diesel Engine Specialists
857,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
858,Farm Equipment Mechanics and Service Technicians
859,"Mobile Heavy Equipment Mechanics, Except Engines"
860,Rail Car Repairers
861,Small Engine Mechanics
862,Motorboat Mechanics and Service Technicians
863,Motorcycle Mechanics
864,Outdoor Power Equipment and Other Small Engine Mechanics
865,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
866,Bicycle Repairers
867,Recreational Vehicle Service Technicians
868,Tire Repairers and Changers
869,"Other Installation, Maintenance, and Repair Occupations"
870,Control and Valve Installers and Repairers
871,Mechanical Door Repairers
872,"Control and Valve Installers and Repairers, Except Mechanical Door"
873,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
874,Home Appliance Repairers
875,"Industrial Machinery Installation, Repair, and Maintenance Workers"
876,Industrial Machinery Mechanics
877,"Maintenance Workers, Machinery"
878,Millwrights
879,"Refractory Materials Repairers, Except Brickmasons"
880,Line Installers and Repairers
881,Electrical Power-Line Installers and Repairers
882,Telecommunications Line Installers and Repairers
883,Precision Instrument and Equipment Repairers
884,Camera and Photographic Equipment Repairers
885,Medical Equipment Repairers
886,Musical Instrument Repairers and Tuners
887,Watch and Clock Repairers
888,"Precision Instrument and Equipment Repairers, All Other"
889,"Maintenance and Repair Workers, General"
890,Wind Turbine Service Technicians
891,"Miscellaneous Installation, Maintenance, and Repair Workers"
892,"Coin, Vending, and Amusement Machine Servicers and Repairers"
893,Commercial Divers
894,Locksmiths and Safe Repairers
895,Manufactured Building and Mobile Home Installers
896,Riggers
897,Signal and Track Switch Repairers
898,"Helpers--Installation, Maintenance, and Repair Workers"
899,"Installation, Maintenance, and Repair Workers, All Other"
900,Production Occupations
901,First-Line Supervisors of Production and Operating Workers
902,Assemblers and Fabricators
903,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
904,"Electrical, Electronics, and Electromechanical Assemblers"
905,"Coil Winders, Tapers, and Finishers"
906,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"
907,Engine and Other Machine Assemblers
908,Structural Metal Fabricators and Fitters
909,Fiberglass Laminators and Fabricators
910,Timing Device Assemblers and Adjusters
911,Miscellaneous Assemblers and Fabricators
912,Food Processing Workers
913,Bakers
914,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
915,Butchers and Meat Cutters
916,"Meat, Poultry, and Fish Cutters and Trimmers"
917,Slaughterers and Meat Packers
918,Miscellaneous Food Processing Workers
919,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
920,Food Batchmakers
921,Food Cooking Machine Operators and Tenders
922,"Food Processing Workers, All Other"
923,Metal Workers and Plastic Workers
924,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
925,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
926,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
927,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
928,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
929,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
930,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
931,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
932,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
933,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
934,Machinists
935,"Metal Furnace Operators, Tenders, Pourers, and Casters"
936,Metal-Refining Furnace Operators and Tenders
937,"Pourers and Casters, Metal"
938,"Model Makers and Patternmakers, Metal and Plastic"
939,"Model Makers, Metal and Plastic"
940,"Patternmakers, Metal and Plastic"
941,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
942,Foundry Mold and Coremakers
943,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
944,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
945,Tool and Die Makers
946,"Welding, Soldering, and Brazing Workers"
947,"Welders, Cutters, Solderers, and Brazers"
948,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
949,Miscellaneous Metal Workers and Plastic Workers
950,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
951,"Layout Workers, Metal and Plastic"
952,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
953,"Tool Grinders, Filers, and Sharpeners"
954,"Metal Workers and Plastic Workers, All Other"
955,Printing Workers
956,Prepress Technicians and Workers
957,Printing Press Operators
958,Print Binding and Finishing Workers
959,"Textile, Apparel, and Furnishings Workers"
960,Laundry and Dry-Cleaning Workers
961,"Pressers, Textile, Garment, and Related Materials"
962,Sewing Machine Operators
963,Shoe and Leather Workers
964,Shoe and Leather Workers and Repairers
965,Shoe Machine Operators and Tenders
966,"Tailors, Dressmakers, and Sewers"
967,"Sewers, Hand"
968,"Tailors, Dressmakers, and Custom Sewers"
969,"Textile Machine Setters, Operators, and Tenders"
970,Textile Bleaching and Dyeing Machine Operators and Tenders
971,"Textile Cutting Machine Setters, Operators, and Tenders"
972,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
973,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
974,"Miscellaneous Textile, Apparel, and Furnishings Workers"
975,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
976,Fabric and Apparel Patternmakers
977,Upholsterers
978,"Textile, Apparel, and Furnishings Workers, All Other"
979,Woodworkers
980,Cabinetmakers and Bench Carpenters
981,Furniture Finishers
982,"Model Makers and Patternmakers, Wood"
983,"Model Makers, Wood"
984,"Patternmakers, Wood"
985,"Woodworking Machine Setters, Operators, and Tenders"
986,"Sawing Machine Setters, Operators, and Tenders, Wood"
987,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
988,"Woodworkers, All Other"
989,Plant and System Operators
990,"Power Plant Operators, Distributors, and Dispatchers"
991,Nuclear Power Reactor Operators
992,Power Distributors and Dispatchers
993,Power Plant Operators
994,Stationary Engineers and Boiler Operators
995,Water and Wastewater Treatment Plant and System Operators
996,Miscellaneous Plant and System Operators
997,Chemical Plant and System Operators
998,Gas Plant Operators
999,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
1000,"Plant and System Operators, All Other"
1001,Other Production Occupations
1002,"Chemical Processing Machine Setters, Operators, and Tenders"
1003,Chemical Equipment Operators and Tenders
1004,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
1005,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
1006,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
1007,"Grinding and Polishing Workers, Hand"
1008,"Mixing and Blending Machine Setters, Operators, and Tenders"
1009,Cutting Workers
1010,"Cutters and Trimmers, Hand"
1011,"Cutting and Slicing Machine Setters, Operators, and Tenders"
1012,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
1013,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
1014,"Inspectors, Testers, Sorters, Samplers, and Weighers"
1015,Jewelers and Precious Stone and Metal Workers
1016,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
1017,Dental Laboratory Technicians
1018,Medical Appliance Technicians
1019,Ophthalmic Laboratory Technicians
1020,Packaging and Filling Machine Operators and Tenders
1021,Painting Workers
1022,"Painting, Coating, and Decorating Workers"
1023,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
1024,Semiconductor Processing Technicians
1025,Photographic Process Workers and Processing Machine Operators
1026,Computer Numerically Controlled Tool Operators and Programmers
1027,Computer Numerically Controlled Tool Operators
1028,Computer Numerically Controlled Tool Programmers
1029,Miscellaneous Production Workers
1030,Adhesive Bonding Machine Operators and Tenders
1031,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
1032,Cooling and Freezing Equipment Operators and Tenders
1033,Etchers and Engravers
1034,"Molders, Shapers, and Casters, Except Metal and Plastic"
1035,"Paper Goods Machine Setters, Operators, and Tenders"
1036,Tire Builders
1037,Helpers--Production Workers
1038,"Production Workers, All Other"
1039,Transportation and Material Moving Occupations
1040,First-Line Supervisors of Transportation and Material Moving Workers
1041,Aircraft Cargo Handling Supervisors
1042,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors"
1043,Air Transportation Workers
1044,Aircraft Pilots and Flight Engineers
1045,"Airline Pilots, Copilots, and Flight Engineers"
1046,Commercial Pilots
1047,Air Traffic Controllers and Airfield Operations Specialists
1048,Air Traffic Controllers
1049,Airfield Operations Specialists
1050,Flight Attendants
1051,Motor Vehicle Operators
1052,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
1053,Driver/Sales Workers and Truck Drivers
1054,Driver/Sales Workers
1055,Heavy and Tractor-Trailer Truck Drivers
1056,Light Truck Drivers
1057,Passenger Vehicle Drivers
1058,"Bus Drivers, School"
1059,"Bus Drivers, Transit and Intercity"
1060,Shuttle Drivers and Chauffeurs
1061,Taxi Drivers
1062,"Motor Vehicle Operators, All Other"
1063,Rail Transportation Workers
1064,Locomotive Engineers and Operators
1065,Locomotive Engineers
1066,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
1067,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
1068,Railroad Conductors and Yardmasters
1069,Subway and Streetcar Operators
1070,"Rail Transportation Workers, All Other"
1071,Water Transportation Workers
1072,Sailors and Marine Oilers
1073,Ship and Boat Captains and Operators
1074,"Captains, Mates, and Pilots of Water Vessels"
1075,Motorboat Operators
1076,Ship Engineers
1077,Other Transportation Workers
1078,Bridge and Lock Tenders
1079,Parking Attendants
1080,Transportation Service Attendants
1081,Automotive and Watercraft Service Attendants
1082,Aircraft Service Attendants
1083,Traffic Technicians
1084,Transportation Inspectors
1085,Passenger Attendants
1086,"Transportation Workers, All Other"
1087,Material Moving Workers
1088,Conveyor Operators and Tenders
1089,Crane and Tower Operators
1090,Dredge Operators
1091,Hoist and Winch Operators
1092,Industrial Truck and Tractor Operators
1093,Laborers and Material Movers
1094,Cleaners of Vehicles and Equipment
1095,"Laborers and Freight, Stock, and Material Movers, Hand"
1096,Machine Feeders and Offbearers
1097,"Packers and Packagers, Hand"
1098,Stockers and Order Fillers
1099,Pumping Station Operators
1100,Gas Compressor and Gas Pumping Station Operators
1101,"Pump Operators, Except Wellhead Pumpers"
1102,Wellhead Pumpers
1103,Refuse and Recyclable Material Collectors
1104,"Tank Car, Truck, and Ship Loaders"
1105,"Material Moving Workers, All Other"
